iter	Passed	Remaining
0	157	157785
1	164	82012
2	170	56719
3	177	44288
4	183	36585
5	191	31773
6	197	28029
7	204	25360
8	209	23068
9	215	21378
10	222	19980
11	228	18849
12	235	17844
13	242	17088
14	249	16376
15	255	15729
16	262	15174
17	268	14652
18	274	14197
19	281	13795
20	288	13431
21	294	13108
22	301	12817
23	309	12577
24	315	12316
25	322	12079
26	329	11884
27	336	11679
28	343	11506
29	350	11333
30	357	11171
31	363	11001
32	370	10857
33	377	10719
34	383	10562
35	391	10494
36	398	10366
37	404	10231
38	409	10093
39	415	9967
40	421	9858
41	428	9762
42	434	9667
43	440	9576
44	447	9486
45	453	9408
46	460	9329
47	467	9265
48	474	9205
49	480	9133
50	487	9076
51	494	9022
52	500	8942
53	507	8882
54	513	8818
55	520	8778
56	527	8730
57	535	8690
58	541	8643
59	548	8600
60	556	8566
61	562	8515
62	570	8483
63	576	8436
64	583	8398
65	588	8333
66	595	8297
67	602	8264
68	609	8221
69	616	8185
70	623	8157
71	630	8128
72	637	8095
73	644	8060
74	650	8026
75	656	7986
76	663	7951
77	669	7911
78	675	7877
79	681	7841
80	687	7804
81	694	7776
82	701	7748
83	707	7713
84	714	7693
85	721	7670
86	728	7640
87	734	7610
88	740	7579
89	746	7550
90	752	7518
91	758	7486
92	764	7459
93	769	7413
94	773	7366
95	779	7341
96	786	7323
97	793	7304
98	800	7285
99	807	7267
100	814	7247
101	822	7238
102	829	7221
103	836	7210
104	843	7192
105	850	7175
106	856	7152
107	863	7133
108	869	7108
109	875	7084
110	881	7060
111	888	7042
112	894	7023
113	900	7001
114	907	6980
115	913	6963
116	920	6944
117	926	6927
118	932	6906
119	937	6873
120	944	6859
121	951	6847
122	958	6831
123	963	6809
124	969	6789
125	976	6770
126	981	6750
127	988	6733
128	995	6721
129	1001	6702
130	1009	6693
131	1016	6686
132	1023	6672
133	1030	6660
134	1038	6654
135	1046	6646
136	1052	6630
137	1060	6626
138	1067	6614
139	1075	6606
140	1082	6596
141	1089	6583
142	1097	6575
143	1103	6560
144	1110	6546
145	1116	6533
146	1122	6510
147	1128	6496
148	1134	6480
149	1140	6464
150	1147	6450
151	1153	6437
152	1160	6423
153	1166	6409
154	1173	6397
155	1179	6379
156	1183	6355
157	1188	6332
158	1194	6316
159	1199	6298
160	1204	6278
161	1211	6266
162	1218	6254
163	1224	6240
164	1231	6230
165	1238	6222
166	1245	6210
167	1251	6197
168	1258	6189
169	1265	6177
170	1272	6166
171	1278	6155
172	1284	6142
173	1291	6132
174	1297	6117
175	1304	6105
176	1310	6093
177	1316	6080
178	1323	6068
179	1329	6057
180	1336	6048
181	1343	6039
182	1349	6025
183	1356	6015
184	1362	6003
185	1369	5992
186	1375	5979
187	1381	5965
188	1388	5959
189	1395	5948
190	1401	5938
191	1407	5924
192	1413	5908
193	1419	5895
194	1424	5880
195	1429	5865
196	1436	5853
197	1442	5840
198	1448	5829
199	1454	5818
200	1460	5806
201	1466	5794
202	1472	5782
203	1478	5769
204	1485	5759
205	1491	5747
206	1496	5734
207	1503	5725
208	1510	5715
209	1516	5706
210	1523	5695
211	1529	5685
212	1535	5673
213	1541	5662
214	1547	5650
215	1553	5638
216	1557	5620
217	1563	5608
218	1569	5598
219	1573	5578
220	1577	5561
221	1583	5550
222	1589	5537
223	1595	5526
224	1602	5518
225	1607	5506
226	1611	5487
227	1617	5477
228	1623	5465
229	1629	5454
230	1635	5443
231	1640	5431
232	1647	5422
233	1653	5411
234	1659	5400
235	1665	5391
236	1671	5381
237	1678	5373
238	1685	5366
239	1691	5356
240	1698	5348
241	1704	5339
242	1710	5329
243	1717	5322
244	1723	5311
245	1728	5298
246	1734	5287
247	1739	5275
248	1743	5258
249	1749	5247
250	1754	5236
251	1760	5226
252	1766	5214
253	1771	5204
254	1776	5190
255	1782	5179
256	1787	5167
257	1793	5156
258	1799	5147
259	1805	5137
260	1811	5128
261	1817	5118
262	1823	5109
263	1829	5099
264	1835	5090
265	1841	5080
266	1847	5071
267	1853	5061
268	1857	5047
269	1863	5037
270	1869	5027
271	1874	5015
272	1877	5000
273	1883	4990
274	1889	4981
275	1895	4972
276	1901	4962
277	1907	4953
278	1913	4944
279	1919	4934
280	1925	4926
281	1931	4916
282	1936	4905
283	1941	4895
284	1947	4886
285	1953	4876
286	1959	4867
287	1964	4856
288	1970	4846
289	1975	4837
290	1981	4828
291	1985	4814
292	1991	4805
293	1997	4796
294	2002	4786
295	2008	4776
296	2014	4767
297	2019	4758
298	2025	4749
299	2031	4739
300	2037	4732
301	2044	4725
302	2048	4713
303	2055	4705
304	2061	4698
305	2067	4689
306	2073	4681
307	2079	4673
308	2085	4664
309	2092	4656
310	2098	4649
311	2105	4642
312	2112	4635
313	2117	4626
314	2123	4618
315	2129	4610
316	2135	4601
317	2142	4593
318	2147	4584
319	2154	4577
320	2158	4564
321	2163	4556
322	2170	4549
323	2176	4541
324	2183	4534
325	2189	4526
326	2196	4520
327	2201	4511
328	2208	4504
329	2214	4495
330	2220	4487
331	2225	4478
332	2231	4469
333	2237	4461
334	2242	4452
335	2248	4443
336	2254	4435
337	2260	4427
338	2265	4417
339	2271	4409
340	2277	4401
341	2283	4393
342	2289	4385
343	2295	4378
344	2301	4370
345	2307	4361
346	2313	4353
347	2319	4346
348	2325	4337
349	2330	4328
350	2336	4320
351	2341	4311
352	2347	4303
353	2353	4294
354	2358	4285
355	2364	4278
356	2370	4269
357	2375	4260
358	2383	4255
359	2387	4245
360	2393	4237
361	2399	4229
362	2405	4221
363	2411	4213
364	2417	4206
365	2421	4195
366	2427	4186
367	2433	4178
368	2439	4170
369	2445	4163
370	2451	4156
371	2457	4149
372	2464	4142
373	2470	4135
374	2476	4127
375	2482	4120
376	2488	4112
377	2494	4103
378	2500	4096
379	2505	4088
380	2511	4080
381	2518	4074
382	2524	4066
383	2530	4059
384	2537	4052
385	2542	4044
386	2548	4037
387	2554	4029
388	2560	4021
389	2566	4014
390	2571	4005
391	2577	3997
392	2583	3989
393	2588	3981
394	2593	3972
395	2601	3967
396	2606	3959
397	2613	3952
398	2619	3946
399	2625	3938
400	2631	3931
401	2637	3923
402	2642	3915
403	2648	3907
404	2653	3898
405	2659	3891
406	2665	3883
407	2670	3874
408	2673	3863
409	2680	3856
410	2685	3848
411	2691	3841
412	2697	3833
413	2702	3825
414	2708	3817
415	2713	3809
416	2719	3802
417	2725	3795
418	2731	3786
419	2736	3779
420	2742	3772
421	2748	3764
422	2754	3757
423	2761	3750
424	2767	3743
425	2772	3736
426	2778	3729
427	2785	3722
428	2790	3714
429	2798	3710
430	2805	3703
431	2810	3695
432	2816	3688
433	2822	3680
434	2828	3673
435	2834	3666
436	2840	3659
437	2845	3651
438	2851	3643
439	2857	3637
440	2863	3629
441	2867	3619
442	2872	3612
443	2879	3605
444	2885	3598
445	2891	3591
446	2897	3584
447	2902	3576
448	2908	3569
449	2915	3562
450	2921	3556
451	2928	3550
452	2934	3543
453	2941	3537
454	2947	3531
455	2955	3525
456	2962	3520
457	2968	3513
458	2975	3507
459	2981	3500
460	2987	3493
461	2994	3486
462	3000	3480
463	3007	3474
464	3013	3467
465	3019	3460
466	3025	3453
467	3031	3445
468	3037	3438
469	3042	3431
470	3048	3424
471	3054	3416
472	3060	3409
473	3066	3402
474	3072	3395
475	3077	3388
476	3083	3381
477	3089	3374
478	3095	3366
479	3101	3359
480	3107	3352
481	3113	3345
482	3119	3339
483	3125	3332
484	3132	3326
485	3138	3319
486	3145	3312
487	3151	3306
488	3157	3300
489	3163	3292
490	3169	3286
491	3175	3278
492	3181	3271
493	3187	3264
494	3193	3257
495	3198	3250
496	3204	3243
497	3209	3235
498	3215	3228
499	3221	3221
500	3227	3214
501	3233	3207
502	3239	3200
503	3245	3194
504	3252	3188
505	3259	3181
506	3265	3175
507	3272	3169
508	3278	3162
509	3285	3156
510	3291	3149
511	3298	3143
512	3304	3136
513	3309	3129
514	3315	3122
515	3321	3115
516	3327	3108
517	3333	3102
518	3340	3095
519	3346	3089
520	3352	3082
521	3358	3075
522	3364	3068
523	3370	3061
524	3376	3055
525	3382	3048
526	3388	3041
527	3394	3034
528	3400	3027
529	3405	3020
530	3411	3013
531	3418	3007
532	3425	3001
533	3433	2995
534	3439	2989
535	3445	2982
536	3451	2976
537	3457	2969
538	3463	2962
539	3469	2955
540	3475	2948
541	3481	2942
542	3487	2934
543	3492	2927
544	3498	2920
545	3504	2913
546	3509	2906
547	3515	2899
548	3520	2892
549	3527	2885
550	3532	2878
551	3538	2871
552	3544	2864
553	3550	2857
554	3555	2851
555	3561	2844
556	3568	2837
557	3574	2831
558	3582	2826
559	3592	2822
560	3600	2817
561	3607	2811
562	3615	2806
563	3622	2800
564	3630	2795
565	3638	2789
566	3644	2783
567	3651	2777
568	3657	2770
569	3663	2763
570	3669	2756
571	3675	2750
572	3680	2742
573	3686	2736
574	3693	2729
575	3699	2723
576	3705	2716
577	3711	2709
578	3717	2703
579	3723	2696
580	3729	2689
581	3734	2682
582	3740	2675
583	3746	2668
584	3752	2661
585	3758	2655
586	3763	2648
587	3769	2641
588	3775	2634
589	3780	2627
590	3786	2620
591	3792	2613
592	3797	2606
593	3802	2599
594	3808	2592
595	3814	2585
596	3820	2578
597	3825	2571
598	3831	2564
599	3837	2558
600	3843	2551
601	3848	2544
602	3854	2537
603	3860	2530
604	3866	2524
605	3871	2517
606	3877	2510
607	3883	2503
608	3888	2496
609	3894	2490
610	3900	2483
611	3906	2476
612	3912	2470
613	3918	2463
614	3923	2456
615	3929	2449
616	3935	2443
617	3941	2436
618	3947	2429
619	3953	2422
620	3958	2416
621	3964	2409
622	3971	2403
623	3976	2396
624	3982	2389
625	3989	2383
626	3994	2376
627	4000	2369
628	4007	2363
629	4013	2357
630	4019	2350
631	4025	2344
632	4031	2337
633	4039	2331
634	4046	2325
635	4053	2319
636	4059	2313
637	4066	2307
638	4073	2301
639	4079	2294
640	4085	2288
641	4092	2281
642	4098	2275
643	4104	2268
644	4110	2262
645	4116	2255
646	4123	2249
647	4129	2243
648	4136	2237
649	4142	2230
650	4148	2224
651	4155	2217
652	4160	2211
653	4167	2204
654	4173	2198
655	4179	2191
656	4185	2185
657	4191	2178
658	4197	2171
659	4203	2165
660	4208	2158
661	4214	2151
662	4220	2145
663	4226	2138
664	4232	2132
665	4238	2125
666	4244	2118
667	4249	2112
668	4255	2105
669	4261	2098
670	4267	2092
671	4272	2085
672	4278	2078
673	4284	2072
674	4290	2065
675	4296	2059
676	4301	2052
677	4307	2045
678	4313	2039
679	4319	2032
680	4326	2026
681	4332	2019
682	4337	2013
683	4343	2006
684	4349	2000
685	4355	1993
686	4361	1986
687	4367	1980
688	4373	1974
689	4381	1968
690	4387	1961
691	4392	1955
692	4399	1948
693	4405	1942
694	4411	1936
695	4419	1930
696	4425	1923
697	4432	1917
698	4439	1911
699	4447	1906
700	4454	1899
701	4461	1893
702	4468	1887
703	4475	1881
704	4481	1875
705	4487	1868
706	4492	1861
707	4498	1855
708	4503	1848
709	4508	1841
710	4514	1834
711	4520	1828
712	4526	1821
713	4532	1815
714	4538	1808
715	4544	1802
716	4551	1796
717	4557	1789
718	4563	1783
719	4569	1776
720	4575	1770
721	4581	1764
722	4588	1757
723	4594	1751
724	4601	1745
725	4607	1739
726	4614	1732
727	4620	1726
728	4626	1719
729	4632	1713
730	4639	1707
